check,quantity,relation,threshold,required,status,decides,reason,note
scope,descendant-tolerant cross-entropy on the Stage 1b nesting graph,,,1,NOT BUILT - blocked by section 7 gap 2 (H2),deferred,"the design says outright: do not rely on the descendant-tolerant loss until nesting is re-tested. Stage 1b's nesting layer missed ALL THREE cases declared for it - nest_tcell, nest_treg, nest_tumour_ki67; two found no edge and one merged instead","a loss built on an untrusted parent/child graph would silently reward wrong predictions, and the failure would look like a modelling result rather than a graph defect. Stage 6 ships PLAIN targets. This is a deferral, not a rejection: re-test the nesting layer and the loss can be added without touching anything else"
scope,"neighbourhood-context auxiliary loss (one of the planned four)",,,1,NOT BUILDABLE - Stage 4 deferred (D-18),removed from the ablation,"it predicts a cell's spatial neighbourhood, which requires z_neigh from Stage 4. Stage 4 is deferred by user decision, so this loss has no input and cannot be written at all","THIS CHANGES THE DECLARED ABLATION. The design says 'train with 2 losses and with all 4'. Only THREE exist on the current roster: cell-type, masked-marker, VICReg. The ablation is therefore 2 vs 3 and is reported as such rather than quietly renumbered"
scope,domain-adversarial term (gradient reversal),,,1,NOT INCLUDED - Gate 3 shipped lambda=0 (D-36),excluded,"Gate 3 measured it over 5 lambdas x 5 folds and no lambda beat lambda=0; lambda<=0.03 sat inside fold noise and lambda>=0.1 was clearly worse while eroding the cohort guard from 0.775 to 0.231","carrying it at lambda=0 would be the same encoder with extra moving parts. If Stage 3b changes that verdict, this row is revisited and the change is dated"
1,every auxiliary log-sigma at the last epoch minus its value at epoch 0,<=,3.0,1,Accepted,PASS/FAIL,"Kendall uncertainty weighting is free to switch a loss OFF by driving its sigma up - the weight is 1/(2 sigma^2), so a runaway sigma silently deletes the term while training still looks healthy. A cap makes that visible instead of invisible","reported as a trajectory per auxiliary loss, not just the endpoint. The CELL-TYPE sigma is PINNED at 1.0 and not learned - noisy labels look 'uncertain' to Kendall weighting, and that is the one task that must not be switched off"
2,minimum pairwise prototype distance at any epoch,>,0.5 x its value at initialisation,1,Accepted,PASS/FAIL,"learnable prototypes can silently merge two classes. Macro-F1 over classes PRESENT IN THE TRUTH does not necessarily expose it, so the guard has to watch the prototypes directly","when a pair breaches the floor it is FROZEN and logged rather than the run being aborted - a merge is a finding about the label space, not necessarily a bug. Frozen pairs are listed in the report with their cluster names"
2,"agreement between the trained prototypes' nearest-cluster assignment and Stage 1b's clustering",,,0,Accepted,diagnostic only,"prototypes are learnable precisely so the protein data can correct Stage 1b. Where the model moved a prototype a long way, it is disagreeing with the clustering - that disagreement is a finding and is reported per cluster","no threshold: there is no principled prior for how much correction is right. Reported as a table of the largest movers with their cluster names, so a reviewer can judge whether the model or Stage 1b is wrong"
3,LOCO macro-F1 with 3 losses minus LOCO macro-F1 with 2 losses,>,0.0,1,Accepted,which losses ship,"the extra auxiliary losses are kept ONLY if they earn it. 2 losses = cell-type + masked-marker; 3 = plus VICReg. If VICReg does not improve validation macro-F1 it is dropped and that is reported","the design's word is 'keep the extra only if they improve validation macro-F1'. Scored LOCO over the 5 training cohorts with the stroma waiver honoured (D-32), the same quantity Gate 3 and Gate 7 use, so the three gates are comparable"
4,LOCO macro-F1 of the shipped Stage 6 model minus the SAME encoder with Stage 3's plain linear head,>=,0.02,1,Accepted,PASS/FAIL,"this is the row that asks whether Stage 6 earned its existence. The prototype loss, the collapse guard and the sigma weighting are the entire stage; if they do not beat a plain linear head on the same encoder, they are complexity without payment","the linear-head control is RE-MEASURED INSIDE THIS RUN, not read from Gate 3's report. Gate 3 ran on an 88-triple vocabulary before D-39 fixed it, so its 0.3642 is not comparable to anything produced afterwards. Same pattern as Gate 2's core-9 control (D-27): measure the baseline in the same run or the comparison changes two things at once"
5,per-fold LOCO macro-F1,,,0,Accepted,diagnostic only,"Gate 3 found CRC to be the WORST fold at 0.2770 despite being the largest cohort with the second-richest panel, which points at class imbalance or label granularity rather than batch (H7). Stage 6's class-balanced sampling and prototype loss are the first things that could move it","reported per fold against Gate 3's per-fold numbers where the vocabulary allows. If CRC does not move, H7 stays open and the cause is elsewhere"
6,cells weighted by label confidence,,,0,Accepted,diagnostic only,"UPMC ships kNN.prob from 0.14 to 1.0. The other four training cohorts report a constant 1.0, so this is 1-OF-5 COVERAGE and cannot be a headline","reported as an on/off comparison on the UPMC fold alone. Stated explicitly in the report so it is not mistaken for a roster-wide effect"
