check,quantity,rule,threshold,declared,status,note
0,frozen_never_trained,"the training cohort list is exactly the 5 training cohorts, and no ferguson cell appears in any training or validation draw",assert,2026-08-11,DECLARED,"The one rule this whole project rests on. Asserted in code and printed, not assumed. If this fails nothing else on this page means anything."
1,beats_chance,"ferguson zero-shot macro-F1 on space A, against the majority-class and random baselines measured in the same run",> both baselines,2026-08-11,DECLARED,"A floor, not an achievement. Stage 3 and Stage 6 both cleared their equivalents by a wide margin (0.3901 vs majority 0.0078). If Stage 7 does not, the transfer has failed outright and that is the finding."
2,report_all_three,"the number is reported for spaces A, B1 and B2 with the cluster count printed next to each",report only,2026-08-11,DECLARED,"No threshold - this is the honesty check. A is the shipped space and is NOT blind to ferguson (D-46). B1 and B2 are built without it. Reporting only the flattering one would be the failure."
3,ordering_by_granularity,"expected ordering of the three numbers, predicted BEFORE the run purely from cluster count: B2 (22 clusters) >= A (25) >= B1 (37)",prediction,2026-08-11,DECLARED,"Fewer classes is an easier macro-F1, so this ordering is what granularity alone predicts. It is declared so it can be WRONG. If the ordering breaks, something other than granularity is driving the difference and that is a more interesting result than the numbers. NOTE this corrects a loose statement in D-46: the leak made A coarser than B1 (25 vs 37) but FINER than B2 (25 vs 22), so 'the bias favours A' is only true against B1."
4,leak_cost_at_matched_cut,"A minus B2 - same cut (0.800), different cohort set",report only,2026-08-11,DECLARED,"This is the row that actually prices the leak. A and B2 differ only in whether ferguson was in the room when the clusters were formed; the cut is held fixed, so granularity is not confounded with it. The H10 control predicts this difference is SMALL (matched-cut ARI 0.9828)."
5,novel_labels_reported,"any holdout label that no cluster admits is reported as NOVEL and EXCLUDED from macro-F1, with its cell share stated",report only,2026-08-11,DECLARED,"Already live before the run: at tau=0.800 ferguson EP sits at average distance 0.8120 against a cut of 0.800 and is admitted by NO cluster in space B2 (14170 cells). Forcing it into the nearest bin would manufacture a score. It is dropped from the macro-F1 and reported, and its share is stated so the reader can see what was removed."
6,fused_labels_reported,"two holdout labels landing in ONE cluster must be reported, because the model then cannot separate them by construction",report only,2026-08-11,DECLARED,"Also already live: in space B1 both EP and GC assign to cluster 31, so ferguson's 9 labels cover only 8 distinct targets there. That is a property of the label space, not a model failure, and reading B1's macro-F1 without it would misattribute the loss."
7,stroma_waiver,"the 3 flagged-unreliable clusters are excluded from the headline and reported separately, in every space",assert,2026-08-11,DECLARED,"D-23/D-32, honoured exactly as Gate 3 and Gate 6 honoured it. The flag lives on LABELS so it survives re-clustering; a new cluster is flagged when the majority of its CELLS come from flagged labels (declared in s7_spaces.py)."
8,predicted_range,"my predicted range for space A, written before the run",0.35 - 0.55,2026-08-11,DECLARED,"Stated so it can be wrong. Reasoning: Stage 7 trains on 5 cohorts rather than 4, and every cluster ferguson touches has training support - so the 10-single-cohort-clusters problem that drags the LOCO macro-F1 to 0.3901 does NOT apply, and 8 well-supported classes should score higher. Against that, ferguson is IMC skin, and Sorin - the only other IMC cohort - is the weakest LOCO fold. A number above 0.55 would mean the roster is easier than the LOCO folds suggested; below 0.35 would mean cross-technology transfer is worse than every fold predicted."
9,scoring_cells,"the ferguson value table is a 40,000-cell subsample, not all 155,913 labelled cells - this must be stated with the number",report only,2026-08-11,DECLARED,"Stage 2 built the wide tables on the same 40k cell ids Stage 1 used, per cohort. The subsample is drawn from the same slides, so it is not a biased sample, but the number must not be presented as 'every ferguson cell'."
