canonical,display,gene_symbol,kind,synonyms,note
CD276,B7H3,CD276,phenotypic,B7H3,
BCL2,BCL2,BCL2,phenotypic,BCL-2|BCL2,
CADM1,CADM1,CADM1,phenotypic,CADM1,
CCR7,CCR7,CCR7,phenotypic,CCR7,
CD2,CD2,CD2,phenotypic,CD2,
CD5,CD5,CD5,phenotypic,CD5,
CD7,CD7,CD7,phenotypic,CD7,
CD14,CD14,CD14,phenotypic,CD14,
CD19,CD19,CD19,phenotypic,CD19,
CD34,CD34,CD34,phenotypic,CD34,
CD36,CD36,CD36,phenotypic,CD36,
CD38,CD38,CD38,phenotypic,CD38,
CD4,CD4,CD4,phenotypic,CD4,
CD44,CD44,CD44,phenotypic,CD44,
CD47,CD47,CD47,phenotypic,CD47,
CD63,CD63,CD63,phenotypic,CD63,
CD68,CD68,CD68,phenotypic,CD68,
CD69,CD69,CD69,phenotypic,CD69,
CD163,CD163,CD163,phenotypic,CD163,
CD209,CD209,CD209,phenotypic,CD209|DC-SIGN,
KIT,CD117,KIT,phenotypic,CD117|c-Kit,
ITGAM,CD11b,ITGAM,phenotypic,CD11b,
ITGAX,CD11c,ITGAX,phenotypic,CD11c,
IL3RA,CD123,IL3RA,phenotypic,CD123,
IL7R,CD127,IL7R,phenotypic,CD127,
ANPEP,CD13,ANPEP,phenotypic,CD13,
TNFRSF4,CD134/OX40,TNFRSF4,phenotypic,CD134|OX40,SAME antigen under two names - UPMC writes CD134 Keren and ferguson write OX40
SDC1,CD138,SDC1,phenotypic,CD138,
FUT4,CD15,FUT4,phenotypic,CD15,carbohydrate epitope (Lewis X) not a protein - FUT4 is the enzyme that makes it
CTLA4,CD152,CTLA4,phenotypic,CD152|CTLA-4,
FCGR3A,CD16,FCGR3A,phenotypic,CD16,
KLRB1,CD161,KLRB1,phenotypic,CD161,
MS4A1,CD20,MS4A1,phenotypic,CD20,
MRC1,CD206,MRC1,phenotypic,CD206,
CR2,CD21,CR2,phenotypic,CD21,
IL2RA,CD25,IL2RA,phenotypic,CD25,
CD3E,CD3,CD3E,phenotypic,CD3|CD3e,antibody is anti-CD3-epsilon in all 5 cohorts
TNFRSF8,CD30,TNFRSF8,phenotypic,CD30,
PECAM1,CD31,PECAM1,phenotypic,CD31,
PTPRC,CD45,PTPRC,phenotypic,CD45,pan-CD45 - keep separate from the RA and RO isoform antibodies
PTPRC_RA,CD45RA,PTPRC,phenotypic,CD45RA,PTPRC isoform RA - same gene as CD45 but a different antibody and a different meaning
PTPRC_RO,CD45RO,PTPRC,phenotypic,CD45RO,PTPRC isoform RO - same gene as CD45 but a different antibody and a different meaning
ITGA1,CD49a,ITGA1,phenotypic,CD49a,
ITGA6,CD49f,ITGA6,phenotypic,CD49f,
NCAM1,CD56,NCAM1,phenotypic,CD56,
B3GAT1,CD57,B3GAT1,phenotypic,CD57,
CEACAM5_6,CD66,,phenotypic,CD66,HubMap epithelial CD66 = CEACAM5/6 - NOT the same antigen as ferguson CD66a
CEACAM1,CD66a,CEACAM1,phenotypic,CD66a,ferguson CD66a = CEACAM1 - NOT the same antigen as HubMap CD66
TFRC,CD71,TFRC,phenotypic,CD71,
CD8A,CD8,CD8A,phenotypic,CD8|CD8a,
THY1,CD90,THY1,phenotypic,CD90,
CDX2,CDX2,CDX2,phenotypic,CDX2,
CSF1R,CSF1R,CSF1R,phenotypic,CSF-1R|CSF1R,
CXCR3,CXCR3,CXCR3,phenotypic,CXCR3,
CHGA,ChromograninA,CHGA,phenotypic,CHGA|Chromogranin A,
COL4A1,CollagenIV,COL4A1,phenotypic,Collagen IV|CollagenIV|CollIV,collagen IV is a trimer - COL4A1 stands for the whole complex here
EGFR,EGFR,EGFR,phenotypic,EGFR,
FAP,FAP,FAP,phenotypic,FAP,
F13A1,FactorXIIIA,F13A1,phenotypic,FX111A|FXIIIA,ferguson writes FX111A which is Factor XIIIA
FOXP3,FoxP3,FOXP3,phenotypic,FOXP3|FoxP3,
GATA3,GATA3,GATA3,phenotypic,GATA3,
GFAP,GFAP,GFAP,phenotypic,GFAP,
GZMB,GranzymeB,GZMB,phenotypic,Granzyme B|GranzymeB|granzB,
H3_K27me3,H3K27me3,,phenotypic,H3K27me3,histone H3 modification not a gene product - keep separate from H3K9ac
H3_K9ac,H3K9ac,,phenotypic,H3K9ac,histone H3 modification not a gene product - keep separate from H3K27me3
HLA_ABC,HLA-ABC,,phenotypic,HLA_Class_1|HLA-ABC,MHC class I covers HLA-A HLA-B and HLA-C so no single gene symbol
HLA-DRA,HLA-DR,HLA-DRA,phenotypic,HLA-DR|HLADR,antibody targets the MHC-II DR alpha chain
ICOS,ICOS,ICOS,phenotypic,ICOS,
IDO1,IDO,IDO1,phenotypic,IDO|IDO-1,
ITLN1,ITLN1,ITLN1,phenotypic,ITLN1,
KRT17,KRT17,KRT17,phenotypic,Keratin17|KRT17,
