raw_or_core,gene,hgnc_id,note
aSMA,ACTA2,HGNC:130,alpha smooth muscle actin - informal antibody name; HGNC returns 0 hits for aSMA
GranzymeB,GZMB,HGNC:4709,spelled out rather than the gene symbol
granzB,GZMB,HGNC:4709,ferguson's abbreviation of the same antibody
PD1,PDCD1,HGNC:8760,"HGNC alias_symbol/PD1 returns 3 candidates (SNCA, PDCD1, SPATA2); the hyphenated PD-1 resolves cleanly, the unhyphenated does not"
NFKBp65,RELA,HGNC:9955,p65 is the RELA subunit of NF-kB
Mastcell-tryptase,TPSAB1,HGNC:12019,mast cell tryptase alpha/beta 1
Keratin17,KRT17,HGNC:6427,spelled out rather than the gene symbol
Keratin6,KRT6A,HGNC:6443,spelled out; the Keren panel's keratin 6 antibody targets KRT6A
B-catenin,CTNNB1,HGNC:2514,beta-catenin written with a bare B
Synaptophysin,SYP,HGNC:11506,UniProt ties SYP with the paralogue SYPL1 so the automatic answer is refused
p16,CDKN2A,HGNC:1787,"p16INK4a is the CDKN2A product; UniProt ties it with an unrelated ARPC5 hit"
FX111A,F13A1,HGNC:3531,"reads as FXIIIA - coagulation factor XIII A subunit - with the Roman numerals typed as ones"
CLA-CD162,SELPLG,HGNC:10722,CD162 is PSGL-1 / SELPLG; CLA is the carbohydrate epitope it carries
Mastcell tryptase,TPSAB1,HGNC:12019,spacing variant of the same antibody name
